Gene stable ID	Gene stable ID version	Gene name	NCBI gene (formerly Entrezgene) ID
ENSG00000122432	ENSG00000122432.19	SPATA1	100505741
ENSG00000227039	ENSG00000227039.8	ITGB2-AS1	100505746
ENSG00000269609	ENSG00000269609.6	C10orf95-AS1	100505761
ENSG00000205482	ENSG00000205482.11	SPDYE18	100505767
ENSG00000227290	ENSG00000227290.2	LINC01364	100505768
ENSG00000232442	ENSG00000232442.3	MHENCR	100505771
ENSG00000223891	ENSG00000223891.7	OSER1-DT	100505783
ENSG00000268001	ENSG00000268001.1	CARD8-AS1	100505812
ENSG00000214293	ENSG00000214293.11	APTR	100505854
ENSG00000231233	ENSG00000231233.3	CFAP58-DT	100505869
ENSG00000218739	ENSG00000218739.10	CEBPZOS	100505876
ENSG00000247828	ENSG00000247828.10	TMEM161B-DT	100505894
ENSG00000282091	ENSG00000282091.1		100505915
ENSG00000260735	ENSG00000260735.3		100505915
ENSG00000293341	ENSG00000293341.1		100505915
ENSG00000203876	ENSG00000203876.10	ADD3-AS1	100505933
ENSG00000285373	ENSG00000285373.3	LINC02478	100505984
ENSG00000245148	ENSG00000245148.2	ARAP1-AS2	100506020
ENSG00000229688	ENSG00000229688.8	CRPPA-AS1	100506025
ENSG00000268006	ENSG00000268006.1	PTOV1-AS1	100506033
ENSG00000250334	ENSG00000250334.8	LINC00989	100506035
ENSG00000273265	ENSG00000273265.1	CNNM3-DT	100506036
ENSG00000234171	ENSG00000234171.5	RNASEH1-DT	100506054
ENSG00000291263	ENSG00000291263.1	SMG1P7	100506060
ENSG00000258525	ENSG00000258525.2		100506071
ENSG00000261777	ENSG00000261777.6	DDX19A-DT	100506083
ENSG00000275748	ENSG00000275748.4	ARL17B	100506084
ENSG00000276276	ENSG00000276276.4	ARL17B	100506084
ENSG00000185829	ENSG00000185829.19	ARL17A	100506084
ENSG00000228696	ENSG00000228696.11	ARL17B	100506084
ENSG00000233834	ENSG00000233834.7	GIRGL	100506098
ENSG00000223478	ENSG00000223478.2	ZDHHC12-DT	100506100
ENSG00000255507	ENSG00000255507.7	UVRAG-DT	100506113
